Ratio,GaussianRatioBeta,AR1RatioBeta,GaussianRatioTrace,AR1RatioTrace,Gaussian_P05,Gaussian_P20,Gaussian_P35,Gaussian_P50,Gaussian_P65,Gaussian_P80,Gaussian_P95,Gaussian_Prob_Lt_1.00,Gaussian_Prob_Lt_3.16,Gaussian_Prob_Lt_10.00,Gaussian_Prob_Lt_31.62,Gaussian_Prob_Lt_100.00,AR1_P05,AR1_P20,AR1_P35,AR1_P50,AR1_P65,AR1_P80,AR1_P95,AR1_Prob_Lt_1.00,AR1_Prob_Lt_3.16,AR1_Prob_Lt_10.00,AR1_Prob_Lt_31.62,AR1_Prob_Lt_100.00
0.586230,0.193102,0.001606,0.004310,0.000225,2.656224,3.558876,4.353509,5.213920,6.184066,7.443251,10.870557,0.000000,0.125000,0.917000,0.998000,1.000000,6.160322,8.613511,10.819629,13.055943,15.916912,20.560780,33.182248,0.000000,0.000000,0.291000,0.937000,0.999000
0.588939,0.193994,0.001614,0.004330,0.000226,2.656224,3.558876,4.353509,5.213920,6.184066,7.443251,10.870557,0.000000,0.125000,0.917000,0.998000,1.000000,6.160322,8.613511,10.819629,13.055943,15.916912,20.560780,33.182248,0.000000,0.000000,0.291000,0.937000,0.999000
0.591660,0.194891,0.001621,0.004350,0.000227,2.656224,3.558876,4.353509,5.213920,6.184066,7.443251,10.870557,0.000000,0.125000,0.917000,0.998000,1.000000,6.160322,8.613511,10.819629,13.055943,15.916912,20.560780,33.182248,0.000000,0.000000,0.291000,0.937000,0.999000
0.594394,0.195791,0.001629,0.004370,0.000229,2.719388,3.615441,4.464155,5.361364,6.288690,7.627098,11.439152,0.000000,0.108000,0.915000,0.998000,1.000000,6.457858,8.836744,11.159015,13.571808,16.421066,21.392542,34.163507,0.000000,0.000000,0.268000,0.929000,0.999000
0.597140,0.196696,0.001636,0.004390,0.000230,2.719388,3.615441,4.464155,5.361364,6.288690,7.627098,11.439152,0.000000,0.108000,0.915000,0.998000,1.000000,6.457858,8.836744,11.159015,13.571808,16.421066,21.392542,34.163507,0.000000,0.000000,0.268000,0.929000,0.999000
0.599899,0.197605,0.001644,0.004411,0.000231,2.719388,3.615441,4.464155,5.361364,6.288690,7.627098,11.439152,0.000000,0.108000,0.915000,0.998000,1.000000,6.457858,8.836744,11.159015,13.571808,16.421066,21.392542,34.163507,0.000000,0.000000,0.268000,0.929000,0.999000
0.602671,0.198518,0.001651,0.004431,0.000232,2.781887,3.691073,4.539969,5.463128,6.383175,7.896635,11.648601,0.000000,0.096000,0.906000,0.998000,1.000000,6.648998,9.198875,11.555177,14.142592,16.919371,22.040500,34.866789,0.000000,0.000000,0.246000,0.921000,0.999000
0.605455,0.199435,0.001659,0.004452,0.000233,2.781887,3.691073,4.539969,5.463128,6.383175,7.896635,11.648601,0.000000,0.096000,0.906000,0.998000,1.000000,6.648998,9.198875,11.555177,14.142592,16.919371,22.040500,34.866789,0.000000,0.000000,0.246000,0.921000,0.999000
0.608253,0.200356,0.001667,0.004472,0.000234,2.869331,3.776038,4.618039,5.586006,6.549782,8.067208,11.815643,0.000000,0.087000,0.901000,0.998000,1.000000,6.997058,9.640728,11.969049,14.566353,17.413783,22.727480,35.907755,0.000000,0.000000,0.226000,0.911000,0.999000
0.611063,0.201282,0.001674,0.004493,0.000235,2.869331,3.776038,4.618039,5.586006,6.549782,8.067208,11.815643,0.000000,0.087000,0.901000,0.998000,1.000000,6.997058,9.640728,11.969049,14.566353,17.413783,22.727480,35.907755,0.000000,0.000000,0.226000,0.911000,0.999000
0.613887,0.202212,0.001682,0.004514,0.000236,2.869331,3.776038,4.618039,5.586006,6.549782,8.067208,11.815643,0.000000,0.087000,0.901000,0.998000,1.000000,6.997058,9.640728,11.969049,14.566353,17.413783,22.727480,35.907755,0.000000,0.000000,0.226000,0.911000,0.999000
